CityObjectID	MaxLod	SurfaceID	LatLon	Height
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06261487906627 141.3612319184696	46.05147719
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06263306866201 141.36122725272847	46.05149669
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.062633076287014 141.3612272909133	19.33565366
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06263937065849 141.3612256763683	19.33566056
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.062639363007065 141.36122563819023	46.05150359
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06265755007748 141.361220973093	46.05152397
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06265755780527 141.36122101125153	19.33568094
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06266403874312 141.36121934884977	19.33568837
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.0626640309882 141.36121931069812	46.05153139
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.062682222369915 141.36121464449116	46.05155268
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.062682230201204 141.3612146826233	19.33570966
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06268935799329 141.36121285429778	19.33571818
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06268934997166 141.36121281539565	46.5965612
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06253874345872 141.36125144686363	46.59640281
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06253875083535 141.36125148593055	19.33555979
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06254113254224 141.3612508750101	19.33556194
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06254112530321 141.36125083672664	46.05140497
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.062559316204755 141.36124617066193	46.05142177
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06255932352024 141.36124620892582	19.33557874
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06256652233515 141.3612443623901	19.33558558
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06256651498957 141.36124432413388	46.0514286
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.062584700369236 141.36123965948156	46.05144632
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.062584707791196 141.36123969771828	19.3356033
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.062590974933066 141.3612380901605	19.33560956
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06259096748479 141.36123805193054	46.05145258
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.0626091581997 141.361233385906	46.0514712
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06260916572425 141.36123342411642	19.33562818
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06261488661492 141.36123195667395	19.33563417
bldg_4e7fbc7b-07c5-4914-9ac3-641a17721e38	2	poly_SAPO1446_p12641_0	43.06261487906627 141.3612319184696	46.05147719
